model,effort,mode,plan,iq,cost,minutes,family_capacity_20x,plan_capacity,weekly_share,eligible_gate_015,eligible_gate_020,eligible_gate_025,eligible_gate_030,eligible_gate_040,eligible_gate_050,eligible_gate_060,eligible_gate_080,fast_ratio,quota_status
gpt-6-astra,low,Standard,Plus,98.16,1.962449,8.64,1847,92.35,0.0212501245262588,true,true,true,true,true,true,true,true,not_applicable,available
gpt-6-astra,low,Standard,Pro5,98.16,1.962449,8.64,1847,461.75,0.00425002490525176,true,true,true,true,true,true,true,true,not_applicable,available
gpt-6-astra,low,Standard,Pro20,98.16,1.962449,8.64,1847,1847,0.00106250622631294,true,true,true,true,true,true,true,true,not_applicable,available
gpt-6-astra,low,Fast,Plus,98.16,4.9061225,6.267434979986249,1847,92.35,0.053125311315647,true,true,true,true,true,true,true,true,1.3785543890906,available
gpt-6-astra,low,Fast,Pro5,98.16,4.9061225,6.267434979986249,1847,461.75,0.0106250622631294,true,true,true,true,true,true,true,true,1.3785543890906,available
gpt-6-astra,low,Fast,Pro20,98.16,4.9061225,6.267434979986249,1847,1847,0.00265626556578235,true,true,true,true,true,true,true,true,1.3785543890906,available
gpt-6-astra,medium,Standard,Plus,106.49,2.239917,8.96,1847,92.35,0.024254650785056852,true,true,true,true,true,true,true,true,not_applicable,available
gpt-6-astra,medium,Standard,Pro5,106.49,2.239917,8.96,1847,461.75,0.00485093015701137,true,true,true,true,true,true,true,true,not_applicable,available
gpt-6-astra,medium,Standard,Pro20,106.49,2.239917,8.96,1847,1847,0.0012127325392528425,true,true,true,true,true,true,true,true,not_applicable,available
gpt-6-astra,medium,Fast,Plus,106.49,5.5997925,5.323400809716601,1847,92.35,0.06063662696264213,true,true,true,true,true,true,true,true,1.6831345826235091,available
gpt-6-astra,medium,Fast,Pro5,106.49,5.5997925,5.323400809716601,1847,461.75,0.012127325392528426,true,true,true,true,true,true,true,true,1.6831345826235091,available
gpt-6-astra,medium,Fast,Pro20,106.49,5.5997925,5.323400809716601,1847,1847,0.0030318313481321065,true,true,true,true,true,true,true,true,1.6831345826235091,available
gpt-6-astra,high,Standard,Plus,108.2,3.142387,12.88,1847,92.35,0.03402693015701137,true,true,true,true,true,true,true,true,not_applicable,available
gpt-6-astra,high,Standard,Pro5,108.2,3.142387,12.88,1847,461.75,0.006805386031402273,true,true,true,true,true,true,true,true,not_applicable,available
gpt-6-astra,high,Standard,Pro20,108.2,3.142387,12.88,1847,1847,0.0017013465078505683,true,true,true,true,true,true,true,true,not_applicable,available
gpt-6-astra,high,Fast,Plus,108.2,7.855967499999999,9.408647468809058,1847,92.35,0.08506732539252843,true,true,true,true,true,true,true,true,1.3689534061828703,available
gpt-6-astra,high,Fast,Pro5,108.2,7.855967499999999,9.408647468809058,1847,461.75,0.017013465078505683,true,true,true,true,true,true,true,true,1.3689534061828703,available
