abs_delta_iq_bin,n_pairs,median_shared_tasks,fraction_ci90_contains_zero,fraction_ci95_contains_zero,fraction_direction_confidence_ge_80,fraction_direction_confidence_ge_90,fraction_direction_confidence_ge_95
0-1,11,112,1,1,0.09090909090909091,0,0
1-2,17,112,1,1,0.11764705882352941,0,0
2-3,12,112,1,1,0.16666666666666666,0,0
3-4,7,112,1,1,0.2857142857142857,0,0
4-5,10,112,1,1,0.4,0,0
5-6,13,112,1,1,0.8461538461538461,0.07692307692307693,0
6-8,18,112,0.7777777777777778,1,0.7222222222222222,0.5555555555555556,0.2222222222222222
8-10,25,112,0.44,0.96,0.92,0.6,0.56
10-12,22,112,0.3181818181818182,0.4090909090909091,0.9545454545454546,0.8636363636363636,0.6818181818181818
12-15,13,112,0.07692307692307693,0.07692307692307693,1,1,0.9230769230769231
15-20,27,112,0,0.037037037037037035,1,1,1
20+,125,112,0,0,1,1,1
