snapshot_at,model,effort,iq,cost,minutes,sample_count
2026-07-23T04:55:27+08:00,gpt-5.6-terra,medium,55.8824,0.737628,10.0722,102
2026-07-23T04:55:27+08:00,gpt-5.5,high,83.1683,3.701551,17.6303,101
2026-07-23T04:55:27+08:00,gpt-5.5,xhigh,96.5347,5.903385,24.9815,101
2026-07-23T10:40:56+08:00,gpt-5.6-terra,ultra,102.4752,13.529827,41.7092,101
2026-07-23T10:40:56+08:00,gpt-5.6-terra,medium,58.2524,0.735108,10.0648,103
2026-07-23T10:40:56+08:00,gpt-5.6-terra,max,99.505,4.527587,31.706,101
2026-07-23T10:40:56+08:00,gpt-5.5,high,83.1683,3.831712,18.523,101
2026-07-23T10:40:56+08:00,gpt-5.5,xhigh,96.5347,5.90375,24.9427,101
2026-07-23T12:55:27+08:00,gpt-5.6-sol,medium,94.6602,3.680409,16.914,103
2026-07-23T12:55:27+08:00,gpt-5.6-terra,medium,57.1429,0.738741,10.0746,105
2026-07-23T12:55:27+08:00,gpt-5.6-terra,max,99.0291,4.612243,32.2016,103
2026-07-23T12:55:27+08:00,gpt-5.6-terra,ultra,101.4286,14.097502,42.7307,105
2026-07-23T12:55:27+08:00,gpt-5.5,high,83.0097,3.881156,18.9408,103
2026-07-23T12:55:27+08:00,gpt-5.5,xhigh,96.5347,5.952588,24.7663,101
2026-07-23T16:55:27+08:00,gpt-5.6-sol,low,75,2.116234,11.4,104
2026-07-23T16:55:27+08:00,gpt-5.6-sol,medium,94.6602,3.750721,16.9592,103
2026-07-23T16:55:27+08:00,gpt-5.6-terra,medium,57.1429,0.738741,10.0746,105
2026-07-23T16:55:27+08:00,gpt-5.6-terra,xhigh,90.2913,2.279606,18.9407,103
2026-07-23T16:55:27+08:00,gpt-5.6-terra,max,99.5192,4.595879,31.5231,104
2026-07-23T16:55:27+08:00,gpt-5.6-terra,ultra,104.1667,14.020433,42.2552,108
2026-07-23T16:55:27+08:00,gpt-5.6-luna,high,69.1176,1.007274,18.8975,102
2026-07-23T16:55:27+08:00,gpt-5.5,high,80.7692,3.869888,19.0344,104
2026-07-23T16:55:27+08:00,gpt-5.5,xhigh,90.2913,5.849254,24.7064,103
2026-07-23T20:55:27+08:00,gpt-5.6-sol,low,73.5849,2.071801,11.3659,106
