model,effort,iq,pass_rate,pass,attempts,average_price_usd,average_minutes,sample_count,valid_tasks,runs_24h,updated_at,source,raw_json
gpt-6-astra,low,98.16,0.6544117647058824,89,136,1.962449,8.64,136,,0,2026-09-14T08:58:00+00:00,https://api.codexradar.com/api/v1/intelligence-efficiency?benchmark=deep-swe,"{""model"":""gpt-6-astra"",""effort"":""low"",""passed"":89,""total"":136,""iq"":98.16,""average_price_usd"":1.962449,""average_price_usd_by_band"":null,""average_minutes"":8.64,""combined_cost_index"":125.606,""average_agent_steps"":25.470149253731343,""agent_steps_samples"":134,""average_total_tokens"":967050.75,""token_samples"":136,""cache_hit_rate"":0.9445579849805051,""cache_token_samples"":136,""runs_24h"":0,""runs_48h"":0,""runs_total"":137,""source_updated_at"":""2026-09-14T08:58:00+00:00""}"
gpt-6-astra,medium,106.49,0.7099236641221374,93,131,2.239917,8.96,131,,0,2026-09-14T04:20:42+00:00,https://api.codexradar.com/api/v1/intelligence-efficiency?benchmark=deep-swe,"{""model"":""gpt-6-astra"",""effort"":""medium"",""passed"":93,""total"":131,""iq"":106.49,""average_price_usd"":2.239917,""average_price_usd_by_band"":null,""average_minutes"":8.96,""combined_cost_index"":160.008,""average_agent_steps"":26.015384615384615,""agent_steps_samples"":130,""average_total_tokens"":1084568.8778625955,""token_samples"":131,""cache_hit_rate"":0.9430429341416556,""cache_token_samples"":131,""runs_24h"":0,""runs_48h"":0,""runs_total"":134,""source_updated_at"":""2026-09-14T04:20:42+00:00""}"
gpt-6-astra,high,108.2,0.7213114754098361,88,122,3.142387,12.88,122,,1,2026-09-15T11:43:38+00:00,https://api.codexradar.com/api/v1/intelligence-efficiency?benchmark=deep-swe,"{""model"":""gpt-6-astra"",""effort"":""high"",""passed"":88,""total"":122,""iq"":108.2,""average_price_usd"":3.142387,""average_price_usd_by_band"":null,""average_minutes"":12.88,""combined_cost_index"":680.921,""average_agent_steps"":28.108333333333334,""agent_steps_samples"":120,""average_total_tokens"":1529532.3770491802,""token_samples"":122,""cache_hit_rate"":0.9484151549208639,""cache_token_samples"":122,""runs_24h"":1,""runs_48h"":1,""runs_total"":124,""source_updated_at"":""2026-09-15T11:43:38+00:00""}"
gpt-6-astra,xhigh,107.29,0.7152777777777778,103,144,4.0981,17.69,144,,0,2026-09-15T01:10:19+00:00,https://api.codexradar.com/api/v1/intelligence-efficiency?benchmark=deep-swe,"{""model"":""gpt-6-astra"",""effort"":""xhigh"",""passed"":103,""total"":144,""iq"":107.29,""average_price_usd"":4.0981,""average_price_usd_by_band"":null,""average_minutes"":17.69,""combined_cost_index"":2339.289,""average_agent_steps"":28.833333333333332,""agent_steps_samples"":132,""average_total_tokens"":1960663.798611111,""token_samples"":144,""cache_hit_rate"":0.9477532091225351,""cache_token_samples"":144,""runs_24h"":0,""runs_48h"":6,""runs_total"":146,""source_updated_at"":""2026-09-15T01:10:19+00:00""}"
gpt-6-astra,max,105.43,0.7028985507246377,97,138,5.230099,24.48,138,,0,2026-09-14T09:51:37+00:00,https://api.codexradar.com/api/v1/intelligence-efficiency?benchmark=deep-swe,"{""model"":""gpt-6-astra"",""effort"":""max"",""passed"":97,""total"":138,""iq"":105.43,""average_price_usd"":5.230099,""average_price_usd_by_band"":null,""average_minutes"":24.48,""combined_cost_index"":8042.343,""average_agent_steps"":30.866141732283463,""agent_steps_samples"":127,""average_total_tokens"":2411470.5144927534,""token_samples"":138,""cache_hit_rate"":0.949143469130332,""cache_token_samples"":138,""runs_24h"":0,""runs_48h"":0,""runs_total"":142,""source_updated_at"":""2026-09-14T09:51:37+00:00""}"
gpt-6-astra,ultra,108.33,0.7222222222222222,104,144,10.2008,14.22,144,,0,2026-09-12T09:50:59+00:00,https://api.codexradar.com/api/v1/intelligence-efficiency?benchmark=deep-swe,"{""model"":""gpt-6-astra"",""effort"":""ultra"",""passed"":104,""total"":144,""iq"":108.33,""average_price_usd"":10.2008,""average_price_usd_by_band"":null,""average_minutes"":14.22,""combined_cost_index"":2989.008,""average_agent_steps"":32.32167832167832,""agent_steps_samples"":143,""average_total_tokens"":5784049.590277778,""token_samples"":144,""cache_hit_rate"":0.9564541200475832,""cache_token_samples"":144,""runs_24h"":0,""runs_48h"":0,""runs_total"":147,""source_updated_at"":""2026-09-12T09:50:59+00:00""}"
gpt-5.6-sol,low,81.7,0.5446428571428571,183,336,1.587333,10.39,336,,0,2026-09-12T05:20:55+00:00,https://api.codexradar.com/api/v1/intelligence-efficiency?benchmark=deep-swe,"{""model"":""gpt-5.6-sol"",""effort"":""low"",""passed"":183,""total"":336,""iq"":81.7,""average_price_usd"":1.587333,""average_price_usd_by_band"":null,""average_minutes"":10.39,""combined_cost_index"":178.258,""average_agent_steps"":42.57230769230769,""agent_steps_samples"":325,""average_total_tokens"":2068107.8095238095,""token_samples"":336,""cache_hit_rate"":0.9535275454156884,""cache_token_samples"":336,""runs_24h"":0,""runs_48h"":0,""runs_total"":1891,""source_updated_at"":""2026-09-12T05:20:55+00:00""}"
gpt-5.6-sol,medium,95.54,0.6369047619047619,214,336,2.924051,16.08,336,,0,2026-09-12T11:05:13+00:00,https://api.codexradar.com/api/v1/intelligence-efficiency?benchmark=deep-swe,"{""model"":""gpt-5.6-sol"",""effort"":""medium"",""passed"":214,""total"":336,""iq"":95.54,""average_price_usd"":2.924051,""average_price_usd_by_band"":null,""average_minutes"":16.08,""combined_cost_index"":1246.33,""average_agent_steps"":58.283018867924525,""agent_steps_samples"":318,""average_total_tokens"":4025184.9791666665,""token_samples"":336,""cache_hit_rate"":0.9654093790673975,""cache_token_samples"":336,""runs_24h"":0,""runs_48h"":0,""runs_total"":1862,""source_updated_at"":""2026-09-12T11:05:13+00:00""}"
gpt-5.6-sol,high,96.88,0.6458333333333334,217,336,4.095264,19.89,336,,0,2026-09-15T05:31:09+00:00,https://api.codexradar.com/api/v1/intelligence-efficiency?benchmark=deep-swe,"{""model"":""gpt-5.6-sol"",""effort"":""high"",""passed"":217,""total"":336,""iq"":96.88,""average_price_usd"":4.095264,""average_price_usd_by_band"":null,""average_minutes"":19.89,""combined_cost_index"":3341.803,""average_agent_steps"":66.89710610932475,""agent_steps_samples"":311,""average_total_tokens"":5620995.829850746,""token_samples"":335,""cache_hit_rate"":0.9708669473195608,""cache_token_samples"":335,""runs_24h"":0,""runs_48h"":1,""runs_total"":1855,""source_updated_at"":""2026-09-15T05:31:09+00:00""}"
gpt-5.6-sol,xhigh,99.11,0.6607142857142857,222,336,5.194649,24.46,336,,0,2026-09-14T10:09:29+00:00,https://api.codexradar.com/api/v1/intelligence-efficiency?benchmark=deep-swe,"{""model"":""gpt-5.6-sol"",""effort"":""xhigh"",""passed"":222,""total"":336,""iq"":99.11,""average_price_usd"":5.194649,""average_price_usd_by_band"":null,""average_minutes"":24.46,""combined_cost_index"":7976.482,""average_agent_steps"":76.02539682539683,""agent_steps_samples"":315,""average_total_tokens"":7561156.735735736,""token_samples"":333,""cache_hit_rate"":0.9735206324499889,""cache_token_samples"":333,""runs_24h"":0,""runs_48h"":0,""runs_total"":2138,""source_updated_at"":""2026-09-14T10:09:29+00:00""}"
gpt-5.6-sol,max,107.14,0.7142857142857143,240,336,7.970848,34.1,336,,0,2026-09-14T04:49:25+00:00,https://api.codexradar.com/api/v1/intelligence-efficiency?benchmark=deep-swe,"{""model"":""gpt-5.6-sol"",""effort"":""max"",""passed"":240,""total"":336,""iq"":107.14,""average_price_usd"":7.970848,""average_price_usd_by_band"":null,""average_minutes"":34.1,""combined_cost_index"":33733.379,""average_agent_steps"":99.61311475409836,""agent_steps_samples"":305,""average_total_tokens"":11803177.453731343,""token_samples"":335,""cache_hit_rate"":0.9772622520831611,""cache_token_samples"":335,""runs_24h"":0,""runs_48h"":0,""runs_total"":2179,""source_updated_at"":""2026-09-14T04:49:25+00:00""}"
